,Unnamed: 0,Accuracy,VariablesUsed,RandomStateUsed
80,,0.6833333333333333,"['BBBRatingScore', 'url_contains_email', 'contains_social_media_links', 'contains_contacts_page', 'url_contains_phone_number', 'IsBBBAccredited', 'contains_zipCode', 'contains_business_name']",80
81,,0.69,['IsBBBAccredited'],81
82,,0.675,"['contains_reviews_page', 'url_contains_phone_number', 'contains_business_name_in_copyright', 'url_contains_email', 'contains_zipCode', 'IsBBBAccredited', 'IsCharity', 'BBBRatingScore', 'contains_social_media_links', 'contains_business_name']",82
83,,0.6916666666666667,"['contains_social_media_links', 'IsBBBAccredited', 'IsHQ', 'contains_reviews_page', 'url_contains_phone_number']",83
84,,0.66,"['contains_zipCode', 'url_contains_phone_number', 'contains_contacts_page', 'contains_social_media_links', 'IsHQ', 'IsBBBAccredited', 'IsCharity', 'contains_business_name']",84
85,,0.6633333333333333,"['contains_contacts_page', 'IsHQ', 'BBBRatingScore']",85
86,,0.6733333333333333,"['IsBBBAccredited', 'IsHQ', 'contains_reviews_page', 'contains_business_name', 'url_contains_email', 'contains_zipCode', 'url_contains_phone_number', 'contains_contacts_page', 'contains_social_media_links', 'BBBRatingScore']",86
87,,0.6916666666666667,"['url_contains_email', 'contains_business_name_in_copyright', 'contains_zipCode', 'IsHQ', 'contains_reviews_page', 'IsBBBAccredited', 'IsCharity', 'url_contains_phone_number']",87
88,,0.68,"['IsBBBAccredited', 'contains_business_name_in_copyright', 'BBBRatingScore', 'contains_reviews_page', 'contains_business_name', 'contains_contacts_page', 'contains_zipCode', 'url_contains_phone_number', 'contains_social_media_links', 'url_contains_email']",88
89,,0.6533333333333333,"['BBBRatingScore', 'contains_business_name']",89
90,,0.6766666666666666,"['contains_zipCode', 'BBBRatingScore', 'contains_business_name_in_copyright', 'IsHQ']",90
91,,0.6866666666666666,"['BBBRatingScore', 'contains_reviews_page', 'url_contains_email']",91
92,,0.68,['IsBBBAccredited'],92
93,,0.6916666666666667,"['url_contains_phone_number', 'IsBBBAccredited', 'contains_business_name_in_copyright', 'contains_zipCode', 'BBBRatingScore', 'contains_contacts_page', 'IsHQ', 'contains_social_media_links', 'contains_business_name', 'contains_reviews_page', 'IsCharity']",93
94,,0.6666666666666666,"['contains_zipCode', 'IsBBBAccredited']",94
95,,0.68,"['BBBRatingScore', 'contains_contacts_page', 'url_contains_email']",95
96,,0.6716666666666666,"['BBBRatingScore', 'url_contains_email', 'contains_social_media_links', 'contains_business_name_in_copyright', 'IsBBBAccredited', 'IsHQ', 'IsCharity', 'contains_reviews_page', 'contains_contacts_page', 'contains_business_name', 'contains_zipCode']",96
97,,0.6983333333333334,"['IsCharity', 'contains_reviews_page', 'contains_social_media_links', 'contains_contacts_page', 'contains_zipCode', 'contains_business_name', 'url_contains_email', 'IsBBBAccredited', 'IsHQ', 'contains_business_name_in_copyright', 'url_contains_phone_number', 'BBBRatingScore']",97
98,,0.6733333333333333,['contains_zipCode'],98
99,,0.685,['url_contains_phone_number'],99
100,,0.6566666666666666,"['url_contains_email', 'IsHQ', 'BBBRatingScore', 'IsBBBAccredited', 'contains_zipCode', 'contains_contacts_page']",100
101,,0.6566666666666666,"['contains_social_media_links', 'BBBRatingScore', 'contains_contacts_page', 'contains_business_name']",101
102,,0.6166666666666667,"['contains_contacts_page', 'url_contains_email', 'BBBRatingScore', 'IsHQ', 'contains_business_name', 'contains_business_name_in_copyright', 'url_contains_phone_number', 'contains_social_media_links', 'contains_zipCode']",102
103,,0.6833333333333333,"['IsBBBAccredited', 'url_contains_email', 'BBBRatingScore', 'contains_contacts_page', 'contains_reviews_page', 'contains_zipCode', 'IsHQ']",103
104,,0.6433333333333333,"['IsCharity', 'contains_social_media_links', 'BBBRatingScore', 'contains_contacts_page', 'url_contains_email', 'contains_business_name', 'contains_reviews_page', 'IsHQ', 'contains_zipCode', 'contains_business_name_in_copyright', 'url_contains_phone_number']",104
105,,0.6666666666666666,"['IsBBBAccredited', 'IsHQ', 'contains_business_name', 'url_contains_email', 'contains_social_media_links', 'url_contains_phone_number']",105
106,,0.6816666666666666,"['contains_contacts_page', 'IsBBBAccredited', 'BBBRatingScore', 'IsHQ', 'contains_business_name', 'IsCharity', 'contains_zipCode', 'url_contains_phone_number', 'contains_reviews_page', 'contains_business_name_in_copyright', 'url_contains_email']",106
107,,0.685,['contains_social_media_links'],107
108,,0.7,"['contains_reviews_page', 'IsBBBAccredited', 'url_contains_email']",108
