,Variables,Random_State,R_2_Train,R_2_Test,Mean_Squared_Error,Mean_Absolute_Error
23,contains_business_name_in_copyright,23,0.0,-0.015112630207505973,0.21689194691858563,0.4291845735250364
24,contains_business_name_in_copyright,24,0.0,-0.0006872560749857648,0.21675775812289,0.43260560862044534
25,contains_business_name_in_copyright,25,0.0,-0.004282688054177308,0.21679031349924086,0.43123719458228177
26,contains_business_name_in_copyright,26,0.0,-0.008180483774770098,0.21681844336199932,0.43648278172857535
27,contains_business_name_in_copyright,27,0.0,-0.0167027220842193,0.21690715065812902,0.4289565045186758
28,contains_business_name_in_copyright,28,0.0,-0.00019360130100087858,0.2167533629357755,0.4339740226586088
29,contains_business_name_in_copyright,29,0.0,-0.00831218580278792,0.21682766163305064,0.4303249185568394
30,contains_business_name_in_copyright,30,0.0,-0.0061379740271527705,0.21680742311118809,0.4307810565695606
31,contains_business_name_in_copyright,31,0.0,-5.1204541883009824e-05,0.2167521398982643,0.4337459536522483
32,contains_business_name_in_copyright,32,0.0,-3.936732337184168e-05,0.21675204050567817,0.4332898156395271
33,contains_business_name_in_copyright,33,0.0,-0.00580684061497494,0.2167995705099222,0.4360266437158542
34,contains_business_name_in_copyright,34,0.0,-0.003858268680033028,0.2167838265677603,0.435570505703133
35,contains_business_name_in_copyright,35,0.0,-0.01216107332735139,0.2168638861219353,0.4296407115377576
36,contains_business_name_in_copyright,36,0.0,-0.004780322612259802,0.2167913074251019,0.43579857470949357
37,contains_business_name_in_copyright,37,0.0,-0.001702120888308567,0.2167660773606084,0.43488629868405126
38,contains_business_name_in_copyright,38,0.0,-0.00019360130100087858,0.2167533629357755,0.4339740226586088
39,contains_business_name_in_copyright,39,0.0,-0.009517358958775368,0.2168389542352001,0.4300968495504789
40,contains_business_name_in_copyright,40,0.0,-0.005806840614975162,0.2167995705099222,0.4360266437158542
41,contains_business_name_in_copyright,41,0.0,-0.00038394777797656765,0.21675507002300723,0.4328336776268059
42,contains_business_name_in_copyright,42,0.0,-0.00016764492619936178,0.21675316415060328,0.43306174663316643
43,contains_business_name_in_copyright,43,0.0,-0.03229957158105612,0.21699738758268025,0.43921960980490243
44,contains_business_name_in_copyright,44,0.0,-3.936732337184168e-05,0.21675204050567817,0.4332898156395271
45,contains_business_name_in_copyright,45,0.0,-0.002320775807254094,0.2167712115355136,0.4351143676904118
